0d1n 1:210.78028eb-1
unix-privesc-check 1.4-6
unrar 1:5.7.5-1
unsecure 1.2-8
unstrip 13.05e00c2-4
untwister 119.a42b8f8-3
unzip 6.0-13
upnp-pentest-toolkit 1.1-4
upnpscan 0.4-4
uppwn 9.f69dec4-4
upx 3.95-1
urh 2.7.2-1
uriparser 0.9.3-1
urlcrazy 0.5-10
urldigger 02c-2
urlview 0.9-13
usb-canary 31.bb23552-1
usb_modeswitch 2.5.2-1
usbmuxd 1.1.0+48+g1cc8b34-3
usbrip 219.1bcc3a7-1
usbutils 010-1
username-anarchy 54.d5e653f-2
usernamer 20.12983f8-1
userrecon 10.3b56891-1
userrecon-py 15.eebd422-1
uthash 2.1.0-1
util-linux 2.34-3
uw-loveimap 0.1-2
uw-offish 0.1-2
uw-udpscan 0.1-2
uw-zone 0.1-2
v3n0m 318.285c1a7-1
v4l-utils 1.16.6-1
vagrant 2.2.5-2
vais 17.5c35c3a-2
vala 0.44.7-1
valabind 1.7.1-1
valgrind 3.14.0-1
vamp-plugin-sdk 2.8.0-1
vane 1899.48f9ab5-1
vanguard 0.1-6
vbrute 1.11dda8b-3
vbscan 1:39.2b1ce48-2
vcsmap 47.3889964-5
vega 1.0-9
veil 5:261.22b4cdb-1
veles 1:637.e65de5a-1
veracrypt 1.23-1
verinice 1.17.2.r491.g4273aa4c7-1
vfeed 3:79.46d8aa9-1
vhostscan 329.74e4681-1
vi 1:070224-3
videosnarf 0.63-6
vid.stab 1.1-2
vim 8.1.1906-1
vim-runtime 8.1.1906-1
vinetto 0.07beta-12
viper 1994.ac85712-1
viproy-voipkit 1:78.54542b3-1
virtualbox 6.0.10-1
virtualbox-guest-modules-arch 6.0.10-9
virtualbox-guest-utils 6.0.10-1
virtualbox-host-dkms 6.0.10-1
virustotal 4.9aea023-3
visql 49.3082e30-1
visualize-logs 118.d2e370e-1
vivisect 1:1008.36be269-1
vlan 1.9-6
vlan-hopping 21.a37ba4e-3
vlany 255.9ef014a-1
vmap 0.3-1
vnak 1:1.cf0fda7-6
vnc-bypauth 0.0.1-6
vncrack 1.21-4
voiper 0.07-6
voiphopper 2.04-7
voipong 2.0-3
volafox 143.5b42987-1
volatility 2.6.1-1
volatility-extra 88.099619c-1
voltron 596.4ee3cbe-4
vpnc 1:0.5.3.r462.r78-1
vpnpivot 22.37bbde0-1
vsaudit 21.2cbc47b-3
vscan 10.da4e47e-5
vstt 0.5.3-1
vsvbp 6.241a7ab-4
vte3 0.56.3-1
vte-common 0.56.3-1
vulkan-icd-loader 1.1.119-1
vulmap 41.cce6422-1
vulnerabilities-spider 1.426e70f-3
vulnx 267.8188500-1
vuls 932.1fbd516-1
vulscan 2.0-3
w13scan 233.01ab4a3-1
w3af 1.6.49-6
wafninja 25.379cd98-1
wafp 0.01_26c3-6
wafpass 48.c3ea1b9-1
wafw00f 445.a95a942-1
waidps 16.ff8d270-4
waldo 29.ee4f960-4
wapiti 3.0.1-4
wascan 1:27.bd25246-1
wavemon 0.9.0-1
waybackpack 49.36db906-3
wayland 1.17.0-1
wayland-protocols 1.18-1
wcc 55.f141963-2
wce 1.41beta-2
web2ldap 1.4.10-2
webacoo 0.2.3-10
webanalyze 57.ab86050-1
webborer 162.be01969-2
webenum 0.1-2
webexploitationtool 155.85bcf0e-2
webfixy 25.5d477b0-2
webhandler 344.a7490cf-1
webhunter 12.918b606-1
webkit2gtk 2.24.3-1
webpwn3r 35.3fb27bb-3
webrute 3.3-6
webscarab 20120422.001828-9
websearch 3.09935a5-1
webshag 1.10-8
webshells 32.8ab02aa-1
webslayer 5-6
websockify 833.654cbac-2
web-soul 2-4
webspa 0.8-4
websploit 3.0.0-4
webtech 1.2.7-3
webxploiter 56.c03fe6b-3
weebdns 14.c01c04f-1
weeman 91.53c2efa-1
weevely 829.8036a61-1
wepbuster 1.0_beta_0.7-6
wesng 67.8d7adcb-1
wfuzz 782.05c8a6f-2
wget 1.20.3-2
whapa 120.de6ffba-2
whatbreach 32.8a82d96-1
whatportis 34.66a04b2-3
whatsmyname 265.1f90346-1
whatwaf 293.b43d8d6-1
whatweb 4679.7885799c-2
which 2.21-3
whichcdn 22.5fc6ddd-3
whitewidow 605.4f27bfe-6
whois 5.5.1-1
wicd 1.7.4-4
wicd-gtk 1.7.4-4
wi-feye 1.1-2
wifibroot 71.8ef11e8-1
wifichannelmonitor 1.42-1
wificurse 0.3.9-5
wifi-honey 1.0-7
wifijammer 85.b1e1858-2
wifi-monitor 24.33b682e-4
wifiphisher 1:730.aab4efe-1
wifi-pumpkin 1:v0.8.8Release.r0.gfba63f2-1
wifiscanmap 135.9adcd08-3
wifitap 2b16088-9
wifite 1:87.r139.918a499-2
wig 574.d5ddd91-3
wikigen 8.348aa99-3
wildpwn 11.4623714-1
windivert 2.0.0-1
windows-exploit-suggester 41.776bd91-2
windows-privesc-check 181.9f304fd-5
windowsspyblocker 4.21.0-1
wine 4.14-1
wine_gecko 2.47-2
wine-mono 4.9.2-1
winetricks 20190615-1
winexe 1.00-5
winfo 2.0-5
winhex 19.7-2
winregfs 140.c17a0a5-1
winrelay 2.0-1
wiredtiger 3.2.0-1
wireless-ids 24.b132071-3
wireless_tools 30.pre9-2
wireshark-cli 3.0.3-1
wireshark-qt 3.0.3-1
wirouter-keyrec 1.1.2-3
witchxtool 1.1-7
wkhtmltopdf 0.12.5-1
wlan2eth 1.3-5
wmat 3:0.1-6
wnmap 0.1-7
woff2 1.0.2-1
wol-e 2.0-5
wolpertinger 2.58ef8e2-1
wordbrutepress 30.5165648-1
wordlistctl 0.8.7-1
wordpot 44.e96889b-2
wordpresscan 66.8a24768-1
wordpress-exploit-framework 902.4462106-4
wpa2-halfhandshake-crack 27.6ed850f-2
wpa-bruteforcer 4.d5f8586-3
wpa_supplicant 2:2.8-1
wpbf 7.11b6ac1-4
wpbrute-rpc 3.e7d8145-9
wpbullet 34.6185112-1
wpforce 87.31024e0-1
wpintel 6.741c0c9-1
wpscan 1:3.6.3-1
wpseku 2:35.69a71ed-1
wpsik 6.7eda4fd-4
wpsweep 1.0-1
wreckuests 75.69b6c27-1
ws-attacker 1.7-3
wscript 201.0410be2-1
wsfuzzer 1.9.5-8
wssip 75.56d0d2c-1
wsuspect-proxy 24.89f9375-2
wups 1.4-1
wuzz 209.4c6d320-1
wvdial 1.61-7
wvstreams 4.6.1-16
wxgtk2 3.0.4-2
wxgtk3 3.0.4-2
wxgtk-common 3.0.4-2
wxhexeditor 659.0fda2ba-1
wyd 0.2-8
x264 2:157.r72db4377-1
x265 3.1.2-1
x3270 3.3.15ga9-2
x64dbg 2019.05.09-1
xattacker 88.0beb7a6-2
xbitmaps 1.1.2-1
xcat 257.9620593-2
xcavator 5.bd9e2d8-9
xcb-proto 1.13-2
xcb-util 0.4.0-2
xcb-util-cursor 0.1.3-2
xcb-util-image 0.4.0-2
xcb-util-keysyms 0.4.0-2
xcb-util-renderutil 0.3.9-2
xcb-util-wm 0.4.1-2
xcb-util-xrm 1.3-1
xcname 11.9c475a1-3
xdg-utils 1.1.3-3
xdotool 3.20160805.1-2
xerosploit 33.2a65f3d-2
xf86-input-libinput 0.29.0-1
xf86-input-synaptics 1.9.1-1
xf86-input-vmmouse 13.1.0-4
xf86-video-amdgpu 19.0.1-1
xf86-video-ati 1:19.0.1-1
xf86-video-dummy 0.3.8-3
xf86-video-fbdev 0.5.0-1
xf86-video-intel 1:2.99.917+870+g6f4972d5-1
xf86-video-nouveau 1.0.16-1
xf86-video-openchrome 0.6.0-3
xf86-video-vesa 2.4.0-2
xf86-video-vmware 13.3.0-1
xf86-video-voodoo 1.2.5-10
xfce4-session 4.14.0-2
xfce4-terminal 0.8.8-2
xfconf 4.14.1-1
xfltreat 257.80c3d03-1
xfsprogs 4.20.0-2
xkeyboard-config 2.27-1
xl2tpd 1.3.14-1
xmlrpc-c 1:1.43.08-2
xmlsec 1.2.28-1
xmpppy 0.5.0_rc1-6
xorbruteforcer 0.1-3
xorg-bdftopcf 1.1-1
xorg-fonts-alias 1.0.3-2
xorg-fonts-encodings 1.0.5-1
xorg-font-util 1.3.2-1
xorg-font-utils 7.6-5
xorg-iceauth 1.0.8-1
xorg-luit 1.1.1-3
xorg-mkfontscale 1.2.1-1
xorgproto 2019.1-1
xorg-server 1.20.5-2
xorg-server-common 1.20.5-2
xorg-server-xvfb 1.20.5-2
xorg-sessreg 1.1.2-1
xorg-setxkbmap 1.3.2-1
xorg-xauth 1.1-1
xorg-xbacklight 1.2.3-1
xorg-xdm 1.1.12-1
xorg-xinit 1.4.1-1
xorg-xkbcomp 1.4.2-1
xorg-xmessage 1.0.5-1
xorg-xmodmap 1.0.10-1
xorg-xrandr 1.5.1-1
xorg-xrdb 1.2.0-1
xorg-xset 1.2.4-1
xorg-xsetroot 1.1.2-1
xorsearch 1.11.2-1
xortool 56.ee0f477-1
xpire-crossdomain-scanner 1.0cb8d3b-3
xplc 0.3.13-8
xplico 1:1.2.2-1
xpl-search 42.d4dbc97-2
xprobe2 0.3-8
xray 91.ca50a32-1
xrop 83.4af7452-1
x-scan 3.3-5
xsel 1.2.0.20160929-2
xspear 1:76.cd1eb0c-1
xspy 1.0c-6
xsrfprobe 427.b5f2a32-1
xsscon 31.a285547-1
xsscrapy 139.06ad0aa-2
xsser 2:1.7-5
xssless 45.8e7ebe1-2
xsspy 56.d317b27-1
xsss 0.40b-7
xssscan 1:17.7f1ea90-3
xsssniper 79.02b59af-2
xsstracer 5.f2ed21a-3
xsstrike 428.0010a90-1
xssya 1:13.cd62817-1
xterm 348-1
xvidcore 1.3.5-1
xwaf 153.8471a27-1
xxeinjector 53.8c5c70e-1
xxhash 0.7.1-1
xz 5.2.4-1
yaaf 7.4d6273a-4
yaf 2.11.0-2
yajl 2.1.0-2
yaml-cpp 0.6.2-1
yara 3.10.0-1
yasat 848-1
yasca 2.1-3
yasuo 121.994dcb1-2
yate 6.1.0-3
yate-bts 6.0.0-1
yawast 883.3257e83-1
yay 9.2.1-1
ycrawler 0.1-5
yersinia 0.8.2-1
yeti 2062.04f97907-1
yinjector 0.1-4
youtube-dl 2019.08.13-1
ysoserial 0.0.5-3
z3 4.8.5-1
zackattack 5.1f96c14-5
zaproxy 2.8.0-1
zarp 0.1.8-6
zenity 3.32.0-1
zeratool 15.d4dda1a-1
zeromq 4.3.1-2
zerowine 0.0.2-8
zeus 107.da38d0d-1
zeus-scanner 412.f6a3ada-1
zgrab2 491.99e5b4c-1
zgrab 802.1058663-1
zip 3.0-8
zipdump 0.0.15-1
zirikatu 7.afe1d9c-1
zita-alsa-pcmi 0.3.2-1
zita-resampler 1.6.2-1
zizzania 124.8f2062f-1
zlib 1:1.2.11-3
zmap 2.1.1-5
zsh 5.7.1-1
zssh 1.5c-11
zstd 1.4.2-1
zulu 0.1-4
zulucrypt 5.5.0-1
zykeys 0.1-3
zziplib 0.13.69-1
zzuf 0.15-2
